AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
06,California,2,CA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"17,945,910",0.0,1000.000,1.00,,,37.00,"76,960",0.4,16.43,18.21,25.98,44.83,73.07,"34,170","37,890","54,030","93,250","151,990",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"1,308,800",0.7,72.930,1.06,,,77.10,"160,360",1.4,30.44,43.76,65.31,97.97,#,"63,300","91,020","135,840","203,770",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"38,920",2.4,2.169,1.56,,,135.11,"281,030",1.4,42.01,70.21,111.10,#,#,"87,390","146,030","231,080",#,#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"273,630",0.9,15.248,0.66,,,74.60,"155,170",4.2,29.57,39.52,58.72,86.00,#,"61,500","82,210","122,140","178,870",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"2,120",5.2,0.118,0.55,,,*,"86,890",2.9,*,*,*,*,*,"34,810","38,940","62,380","104,450","136,310",TRUE,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,"2,880",7.2,0.160,1.18,,,84.18,"175,080",6.0,36.99,50.12,67.48,97.44,#,"76,950","104,240","140,360","202,670",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,"59,830",2.8,3.334,1.37,,,92.66,"192,730",1.0,45.87,62.45,83.89,109.89,#,"95,400","129,890","174,480","228,560",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,"113,910",1.6,6.347,1.67,,,73.09,"152,030",0.7,28.26,39.38,63.34,94.43,#,"58,780","81,910","131,740","196,410",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,"9,580",3.6,0.534,1.11,,,81.96,"170,470",1.5,43.39,53.06,72.35,101.58,#,"90,260","110,370","150,500","211,280",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,"4,510",5.6,0.251,1.20,,,74.13,"154,200",4.1,37.93,48.08,62.25,83.76,#,"78,900","100,000","129,480","174,210",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3012,Administrative Services Managers,detailed,"37,990",1.6,2.117,1.33,,,59.86,"124,500",1.1,33.33,41.76,53.24,70.07,95.50,"69,330","86,860","110,750","145,750","198,640",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3013,Facilities Managers,detailed,"18,010",1.7,1.003,1.16,,,58.10,"120,850",0.7,31.67,38.72,52.92,71.26,88.83,"65,880","80,530","110,080","148,220","184,760",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3021,Computer and Information Systems Managers,detailed,"98,430",1.5,5.485,1.41,,,104.34,"217,030",0.7,61.88,79.84,101.20,#,#,"128,710","166,070","210,490",#,#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3031,Financial Managers,detailed,"97,400",2.4,5.427,1.05,,,94.55,"196,670",2.0,46.24,62.03,81.62,109.41,#,"96,170","129,020","169,780","227,570",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3051,Industrial Production Managers,detailed,"24,590",2.0,1.370,0.93,,,67.37,"140,130",0.8,37.20,47.15,61.97,80.66,102.79,"77,370","98,070","128,890","167,760","213,810",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3061,Purchasing Managers,detailed,"7,540",3.4,0.420,0.82,,,76.67,"159,470",1.4,44.75,55.64,73.80,88.97,#,"93,090","115,720","153,510","185,060",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3071,"Transportation, Storage, and Distribution Managers",detailed,"30,930",1.9,1.724,1.32,,,57.33,"119,250",0.8,30.37,37.65,48.68,67.80,94.13,"63,170","78,310","101,240","141,020","195,780",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3111,Compensation and Benefits Managers,detailed,"2,990",5.7,0.167,1.35,,,80.10,"166,620",2.5,46.90,57.71,74.29,97.86,#,"97,550","120,040","154,530","203,550",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3121,Human Resources Managers,detailed,"27,980",1.9,1.559,1.18,,,87.72,"182,460",0.8,46.18,61.49,80.25,105.80,#,"96,060","127,900","166,920","220,060",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-3131,Training and Development Managers,detailed,"6,140",3.0,0.342,1.25,,,80.83,"168,130",0.9,41.82,53.42,72.11,101.05,#,"86,990","111,120","149,990","210,180",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"1,460",11.0,0.081,2.01,,,54.58,"113,530",3.2,30.70,40.45,52.03,63.31,79.15,"63,860","84,140","108,230","131,680","164,640",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9021,Construction Managers,detailed,"36,950",3.0,2.059,0.95,,,62.35,"129,690",1.4,36.91,47.22,59.95,77.39,89.94,"76,770","98,210","124,690","160,980","187,080",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,"8,140",6.5,0.454,1.08,,,35.09,"72,990",3.8,21.13,23.47,29.14,37.52,54.47,"43,940","48,820","60,620","78,040","113,300",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,"29,380",2.1,1.637,0.82,,,*,"141,370",0.8,*,*,*,*,*,"97,890","121,920","134,480","163,750","183,320",TRUE,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9033,"Education Administrators, Postsecondary",detailed,"13,920",1.0,0.776,0.70,,,67.65,"140,700",0.6,37.70,46.04,60.57,81.53,104.73,"78,410","95,760","125,990","169,570","217,830",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9039,"Education Administrators, All Other",detailed,"10,730",4.3,0.598,1.79,,,58.23,"121,110",2.1,28.45,33.81,46.15,65.45,84.77,"59,170","70,330","95,990","136,130","176,320",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9041,Architectural and Engineering Managers,detailed,"35,630",3.4,1.985,1.45,,,96.87,"201,480",0.7,60.65,77.39,94.91,108.29,#,"126,150","160,980","197,420","225,240",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9051,Food Service Managers,detailed,"44,500",3.9,2.480,1.53,,,34.60,"71,970",1.3,21.29,24.01,32.57,39.65,48.46,"44,280","49,940","67,740","82,460","100,800",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9071,Gambling Managers,detailed,790,1.9,0.044,1.46,,,55.94,"116,360",0.7,35.93,38.03,48.98,63.82,80.31,"74,720","79,100","101,880","132,740","167,040",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9072,"Entertainment and Recreation Managers, Except Gambling",detailed,"8,240",5.7,0.459,2.35,,,44.82,"93,220",2.5,21.41,27.13,36.05,50.36,77.52,"44,530","56,420","74,980","104,750","161,250",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9081,Lodging Managers,detailed,"6,220",6.0,0.346,1.25,,,41.17,"85,640",2.2,19.71,27.54,35.89,46.18,72.68,"40,990","57,290","74,660","96,060","151,180",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9111,Medical and Health Services Managers,detailed,"57,310",3.0,3.193,0.94,,,75.07,"156,140",1.3,35.78,47.48,67.03,96.17,#,"74,420","98,760","139,430","200,030",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9121,Natural Sciences Managers,detailed,"14,080",4.7,0.784,1.23,,,100.16,"208,330",1.2,57.63,74.47,95.47,#,#,"119,870","154,900","198,580",#,#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9131,Postmasters and Mail Superintendents,detailed,790,0.0,0.044,0.49,,,45.14,"93,890",0.0,38.01,40.70,44.40,48.90,54.48,"79,060","84,660","92,340","101,700","113,320",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9141,"Property, Real Estate, and Community Association Managers",detailed,"50,100",3.3,2.792,1.49,,,40.86,"84,990",2.6,18.67,23.16,33.44,46.83,76.12,"38,840","48,180","69,560","97,400","158,330",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9151,Social and Community Service Managers,detailed,"28,260",4.3,1.575,1.38,,,43.02,"89,480",2.3,25.45,30.98,37.78,50.24,66.02,"52,940","64,430","78,580","104,490","137,330",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9161,Emergency Management Directors,detailed,790,2.9,0.044,0.56,,,63.26,"131,580",1.3,37.27,44.47,56.85,73.89,96.38,"77,510","92,500","118,240","153,700","200,460",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9171,Funeral Home Managers,detailed,790,6.4,0.044,0.47,,,44.61,"92,780",4.7,29.12,31.27,36.37,49.57,74.86,"60,560","65,050","75,660","103,100","155,720",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9179,"Personal Service Managers, All Other",detailed,"2,120",12.7,0.118,1.61,,,36.41,"75,720",4.1,19.91,24.97,31.75,41.09,57.25,"41,410","51,940","66,040","85,460","119,080",,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,11-9199,"Managers, All Other",detailed,"101,230",1.5,5.641,1.45,,,87.39,"181,760",0.6,41.45,60.69,81.06,104.60,#,"86,210","126,230","168,600","217,570",#,,
06,California,2,CA,000000,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,"1,210,190",0.5,67.435,1.02,,,48.75,"101,390",0.4,23.69,31.09,42.25,59.75,79.57,"49,270","64,660","87,880","124,290","165,510",,
