AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"1,308,800",0.7,72.93,1.06
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"38,920",2.4,2.169,1.56
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"273,630",0.9,15.248,0.66
6,California,2,CA,0,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,"2,120",5.2,0.118,0.55
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-11,Advertising and Promotions Managers,detailed,"2,880",7.2,0.16,1.18
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-21,Marketing Managers,detailed,"59,830",2.8,3.334,1.37
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-22,Sales Managers,detailed,"113,910",1.6,6.347,1.67
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-32,Public Relations Managers,detailed,"9,580",3.6,0.534,1.11
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-33,Fundraising Managers,detailed,"4,510",5.6,0.251,1.2
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-12,Administrative Services Managers,detailed,"37,990",1.6,2.117,1.33
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-13,Facilities Managers,detailed,"18,010",1.7,1.003,1.16
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-21,Computer and Information Systems Managers,detailed,"98,430",1.5,5.485,1.41
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-31,Financial Managers,detailed,"97,400",2.4,5.427,1.05
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-51,Industrial Production Managers,detailed,"24,590",2,1.37,0.93
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-61,Purchasing Managers,detailed,"7,540",3.4,0.42,0.82
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-71,"Transportation, Storage, and Distribution Managers",detailed,"30,930",1.9,1.724,1.32
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-11,Compensation and Benefits Managers,detailed,"2,990",5.7,0.167,1.35
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-21,Human Resources Managers,detailed,"27,980",1.9,1.559,1.18
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-31,Training and Development Managers,detailed,"6,140",3,0.342,1.25
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-13,"Farmers, Ranchers, and Other Agricultural Managers",detailed,"1,460",11,0.081,2.01
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-21,Construction Managers,detailed,"36,950",3,2.059,0.95
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-31,"Education and Childcare Administrators, Preschool and Daycare",detailed,"8,140",6.5,0.454,1.08
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-32,"Education Administrators, Kindergarten through Secondary",detailed,"29,380",2.1,1.637,0.82
6,California,2,CA,0,Cross-industry,cross-industry,1235,Nov-33,"Education Administrators, Postsecondary",detailed,"13,920",1,0.776,0.7
