2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023"
"Total, all occupations",00-0000,"167,849.80","174,589.00","6,739.20",4,"48,060"
  Word processors and typists,43-9022,39.9,24.8,-15.2,-38,"46,450"
"  Roof bolters, mining",47-5043,2,1.4,-0.6,-32,"66,660"
  Telephone operators,43-2021,4.7,3.5,-1.2,-26.4,"38,080"
"  Switchboard operators, including answering service",43-2011,44.9,33.6,-11.3,-25.2,"36,750"
  Data entry keyers,43-9021,163.9,122.8,-41,-25,"37,790"
  Foundry mold and coremakers,51-4071,11.8,8.9,-2.9,-24.6,"44,300"
"  Loading and moving machine operators, underground mining",47-5044,5.3,4.1,-1.2,-22.9,"64,070"
"  Patternmakers, metal and plastic",51-4062,2.2,1.7,-0.5,-22.2,"49,670"
  Telemarketers,41-9041,85.2,66.8,-18.3,-21.5,"34,480"
  Engine and other machine assemblers,51-2031,49,38.6,-10.4,-21.3,"50,270"
  Manufactured building and mobile home installers,49-9095,3.3,2.7,-0.6,-19.6,"38,980"
"  Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,5.8,4.7,-1.1,-19.2,"44,620"
  Prepress technicians and workers,51-5111,23.3,19,-4.3,-18.5,"45,070"
"  Cutters and trimmers, hand",51-9031,6.9,5.6,-1.3,-18.4,"37,040"
  Order clerks,43-4151,106.3,87.3,-19,-17.9,"41,600"
"  Grinding and polishing workers, hand",51-9022,12.5,10.3,-2.2,-17.8,"38,940"
"  Refractory materials repairers, except brickmasons",49-9045,0.6,0.5,-0.1,-17.8,"48,410"
"  Model makers, metal and plastic",51-4061,2.9,2.4,-0.5,-17.6,"64,190"
  Print binding and finishing workers,51-5113,38.1,31.4,-6.7,-17.5,"38,100"
  Camera and photographic equipment repairers,49-9061,2.6,2.2,-0.4,-16.9,"46,850"
"  Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,31.4,26.3,-5.2,-16.4,"61,240"
  Timing device assemblers and adjusters,51-2061,0.4,0.3,-0.1,-16.3,"48,840"
"  Forging machine setters, operators, and tenders, metal and plastic",51-4022,9.3,7.9,-1.5,-15.7,"46,990"
  Structural metal fabricators and fitters,51-2041,59.3,50.3,-9.1,-15.3,"48,480"
  File clerks,43-4071,87.2,73.9,-13.3,-15.3,"38,130"
"  Office machine operators, except computer",43-9071,29.2,24.8,-4.4,-15.1,"37,450"
  Payroll and timekeeping clerks,43-3051,160.3,136.2,-24.2,-15.1,"52,240"
  Tellers,43-3071,350.3,298.8,-51.4,-14.7,"37,640"
"  Door-to-door sales workers, news and street vendors, and related workers",41-9091,32.4,27.7,-4.8,-14.6,"34,910"
  New accounts clerks,43-4141,42.2,36,-6.2,-14.6,"44,630"
