2023 National Employment Matrix title,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023"
"Total, all occupations",00-0000,"167,849.8","174,589.0","6,739.2",4.0,"48,060"
  Wind turbine service technicians,49-9081,11.4,18.2,6.8,60.1,"61,770"
  Solar photovoltaic installers,47-2231,25.0,37.0,12.0,48.0,"48,800"
  Nurse practitioners,29-1171,292.5,427.9,135.5,46.3,"126,260"
  Data scientists,15-2051,202.9,276.0,73.1,36.0,"108,020"
  Information security analysts,15-1212,180.7,239.8,59.1,32.7,"120,360"
  Medical and health services managers,11-9111,562.7,723.3,160.6,28.5,"110,680"
  Physician assistants,29-1071,153.4,197.1,43.7,28.5,"130,020"
  Computer and information research scientists,15-1221,36.6,46.0,9.4,25.6,"145,080"
  Physical therapist assistants,31-2021,108.5,136.0,27.5,25.4,"64,080"
  Operations research analysts,15-2031,123.3,151.6,28.3,23.0,"83,640"
  Occupational therapy assistants,31-2011,47.5,58.1,10.6,22.3,"67,010"
  Actuaries,15-2011,30.2,36.8,6.6,21.8,"120,000"
  Financial examiners,13-2061,65.5,79.2,13.8,21.0,"84,300"
  Home health and personal care aides,31-1120,"3,961.9","4,782.4",820.5,20.7,"33,530"
  Veterinary assistants and laboratory animal caretakers,31-9096,118.2,141.1,22.9,19.4,"36,440"
  Veterinary technologists and technicians,29-2056,125.7,150.0,24.3,19.3,"43,740"
  Logisticians,13-1081,237.1,282.9,45.8,19.3,"79,400"
  Veterinarians,29-1131,88.2,105.0,16.8,19.1,"119,100"
"  Substance abuse, behavioral disorder, and mental health counselors",21-1018,449.8,534.3,84.5,18.8,"53,710"
  Epidemiologists,19-1041,11.0,13.1,2.1,18.8,"81,390"
"  Health specialties teachers, postsecondary",25-1071,284.2,337.5,53.3,18.8,"105,650"
  Speech-language pathologists,29-1127,180.8,214.1,33.3,18.4,"89,290"
  Medical equipment repairers,49-9062,67.0,79.3,12.3,18.4,"60,670"
  Software developers,15-1252,"1,692.1","1,995.7",303.7,17.9,"132,270"
"  Nursing instructors and teachers, postsecondary",25-1072,89.9,105.9,16.1,17.9,"80,780"
  Massage therapists,31-9011,147.1,173.2,26.0,17.7,"55,310"
  Computer and information systems managers,11-3021,613.5,720.4,106.9,17.4,"169,510"
  Industrial machinery mechanics,49-9041,429.5,503.3,73.8,17.2,"61,420"
  Personal financial advisors,13-2052,321.0,375.9,55.0,17.1,"99,580"
  Psychiatric technicians,29-2053,124.6,145.8,21.3,17.1,"39,700"
