AREA_TITLE,OCC_TITLE,H_MEDIAN,A_MEDIAN
California,Management Occupations,65.31,"135,840"
California,Chief Executives,111.10,"231,080"
California,General and Operations Managers,58.72,"122,140"
California,Legislators,*,"62,380"
California,Advertising and Promotions Managers,67.48,"140,360"
California,Marketing Managers,83.89,"174,480"
California,Sales Managers,63.34,"131,740"
California,Public Relations Managers,72.35,"150,500"
California,Fundraising Managers,62.25,"129,480"
California,Administrative Services Managers,53.24,"110,750"
California,Facilities Managers,52.92,"110,080"
California,Computer and Information Systems Managers,101.20,"210,490"
California,Financial Managers,81.62,"169,780"
California,Industrial Production Managers,61.97,"128,890"
California,Purchasing Managers,73.80,"153,510"
California,"Transportation, Storage, and Distribution Managers",48.68,"101,240"
California,Compensation and Benefits Managers,74.29,"154,530"
California,Human Resources Managers,80.25,"166,920"
California,Training and Development Managers,72.11,"149,990"
California,"Farmers, Ranchers, and Other Agricultural Managers",52.03,"108,230"
California,Construction Managers,59.95,"124,690"
California,"Education and Childcare Administrators, Preschool and Daycare",29.14,"60,620"
California,"Education Administrators, Kindergarten through Secondary",*,"134,480"
California,"Education Administrators, Postsecondary",60.57,"125,990"
California,"Education Administrators, All Other",46.15,"95,990"
California,Architectural and Engineering Managers,94.91,"197,420"
California,Food Service Managers,32.57,"67,740"
California,Gambling Managers,48.98,"101,880"
California,"Entertainment and Recreation Managers, Except Gambling",36.05,"74,980"
California,Lodging Managers,35.89,"74,660"
California,Medical and Health Services Managers,67.03,"139,430"
California,Natural Sciences Managers,95.47,"198,580"
California,Postmasters and Mail Superintendents,44.40,"92,340"
California,"Property, Real Estate, and Community Association Managers",33.44,"69,560"
California,Social and Community Service Managers,37.78,"78,580"
California,Emergency Management Directors,56.85,"118,240"
California,Funeral Home Managers,36.37,"75,660"
California,"Personal Service Managers, All Other",31.75,"66,040"
California,"Managers, All Other",81.06,"168,600"
California,Business and Financial Operations Occupations,42.25,"87,880"
California,"Agents and Business Managers of Artists, Performers, and Athletes",49.66,"103,290"
California,Buyers and Purchasing Agents,37.37,"77,720"
California,"Claims Adjusters, Examiners, and Investigators",38.52,"80,120"
California,"Insurance Appraisers, Auto Damage",38.86,"80,830"
California,Compliance Officers,40.86,"84,990"
California,Cost Estimators,39.38,"81,910"
California,Human Resources Specialists,38.40,"79,870"
California,Farm Labor Contractors,33.78,"70,260"
California,Labor Relations Specialists,50.75,"105,560"
California,Logisticians,43.24,"89,940"
California,Project Management Specialists,51.91,"107,980"
California,Management Analysts,47.98,"99,800"
California,"Meeting, Convention, and Event Planners",29.93,"62,250"
California,Fundraisers,36.39,"75,680"
California,"Compensation, Benefits, and Job Analysis Specialists",39.84,"82,870"
California,Training and Development Specialists,33.71,"70,120"
California,Market Research Analysts and Marketing Specialists,39.95,"83,090"
California,"Business Operations Specialists, All Other",40.20,"83,610"
California,Accountants and Auditors,44.31,"92,160"
California,Property Appraisers and Assessors,39.71,"82,590"
California,Budget Analysts,48.04,"99,920"
California,Credit Analysts,39.05,"81,220"
California,Financial and Investment Analysts,52.44,"109,080"
California,Personal Financial Advisors,49.68,"103,330"
California,Insurance Underwriters,39.50,"82,150"
California,Financial Risk Specialists,52.48,"109,160"
California,Financial Examiners,48.27,"100,400"
California,Credit Counselors,30.02,"62,430"
California,Loan Officers,35.28,"73,380"
California,"Tax Examiners and Collectors, and Revenue Agents",33.79,"70,280"
California,Tax Preparers,31.23,"64,950"
California,"Financial Specialists, All Other",37.74,"78,500"
California,Computer and Mathematical Occupations,65.27,"135,760"
California,Computer Systems Analysts,59.79,"124,370"
California,Information Security Analysts,65.02,"135,250"
