2023 National Employment Matrix title,2023 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation,Typical on-the-job training needed to attain competency in the occupation,xlsx_ooh_link
Chief executives,11-1011,Bachelor's degree,5 years or more,None,OOH Content
General and operations managers,11-1021,Bachelor's degree,5 years or more,None,OOH Content
Legislators,11-1031,Bachelor's degree,Less than 5 years,None,—
Advertising and promotions managers,11-2011,Bachelor's degree,Less than 5 years,None,OOH Content
Marketing managers,11-2021,Bachelor's degree,5 years or more,None,OOH Content
Sales managers,11-2022,Bachelor's degree,Less than 5 years,None,OOH Content
Public relations managers,11-2032,Bachelor's degree,5 years or more,None,OOH Content
Fundraising managers,11-2033,Bachelor's degree,5 years or more,None,OOH Content
Administrative services managers,11-3012,Bachelor's degree,Less than 5 years,None,OOH Content
Facilities managers,11-3013,Bachelor's degree,Less than 5 years,None,OOH Content
Computer and information systems managers,11-3021,Bachelor's degree,5 years or more,None,OOH Content
Financial managers,11-3031,Bachelor's degree,5 years or more,None,OOH Content
Industrial production managers,11-3051,Bachelor's degree,5 years or more,None,OOH Content
Purchasing managers,11-3061,Bachelor's degree,5 years or more,None,OOH Content
"Transportation, storage, and distribution managers",11-3071,High school diploma or equivalent,5 years or more,None,OOH Content
Compensation and benefits managers,11-3111,Bachelor's degree,5 years or more,None,OOH Content
Human resources managers,11-3121,Bachelor's degree,5 years or more,None,OOH Content
Training and development managers,11-3131,Bachelor's degree,5 years or more,None,OOH Content
"Farmers, ranchers, and other agricultural managers",11-9013,High school diploma or equivalent,5 years or more,None,OOH Content
Construction managers,11-9021,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
"Education and childcare administrators, preschool and daycare",11-9031,Bachelor's degree,Less than 5 years,None,OOH Content
"Education administrators, kindergarten through secondary",11-9032,Master's degree,5 years or more,None,OOH Content
"Education administrators, postsecondary",11-9033,Master's degree,Less than 5 years,None,OOH Content
"Education administrators, all other",11-9039,Bachelor's degree,Less than 5 years,None,—
Architectural and engineering managers,11-9041,Bachelor's degree,5 years or more,None,OOH Content
Food service managers,11-9051,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,OOH Content
Gambling managers,11-9071,High school diploma or equivalent,Less than 5 years,None,OOH Content
"Entertainment and recreation managers, except gambling",11-9072,Bachelor's degree,Less than 5 years,None,OOH Content
Lodging managers,11-9081,High school diploma or equivalent,Less than 5 years,None,OOH Content
Medical and health services managers,11-9111,Bachelor's degree,Less than 5 years,None,OOH Content
Natural sciences managers,11-9121,Bachelor's degree,5 years or more,None,OOH Content
Postmasters and mail superintendents,11-9131,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,—
"Property, real estate, and community association managers",11-9141,High school diploma or equivalent,Less than 5 years,Short-term on-the-job training,OOH Content
Social and community service managers,11-9151,Bachelor's degree,Less than 5 years,None,OOH Content
Emergency management directors,11-9161,Bachelor's degree,5 years or more,None,OOH Content
Funeral home managers,11-9171,Associate's degree,Less than 5 years,None,OOH Content
"Personal service managers, all other",11-9179,High school diploma or equivalent,Less than 5 years,None,—
"Managers, all other",11-9199,Bachelor's degree,Less than 5 years,None,—
"Agents and business managers of artists, performers, and athletes",13-1011,Bachelor's degree,Less than 5 years,None,—
Buyers and purchasing agents,13-1020,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
"Claims adjusters, examiners, and investigators",13-1031,High school diploma or equivalent,None,Long-term on-the-job training,OOH Content
"Insurance appraisers, auto damage",13-1032,Postsecondary nondegree award,None,Moderate-term on-the-job training,OOH Content
Compliance officers,13-1041,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
Cost estimators,13-1051,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
Human resources specialists,13-1071,Bachelor's degree,None,None,OOH Content
Farm labor contractors,13-1074,No formal educational credential,Less than 5 years,Short-term on-the-job training,—
Labor relations specialists,13-1075,Bachelor's degree,Less than 5 years,None,OOH Content
Logisticians,13-1081,Bachelor's degree,None,None,OOH Content
Project management specialists,13-1082,Bachelor's degree,None,None,OOH Content
Management analysts,13-1111,Bachelor's degree,Less than 5 years,None,OOH Content
"Meeting, convention, and event planners",13-1121,Bachelor's degree,None,None,OOH Content
Fundraisers,13-1131,Bachelor's degree,None,None,OOH Content
"Compensation, benefits, and job analysis specialists",13-1141,Bachelor's degree,Less than 5 years,None,OOH Content
Training and development specialists,13-1151,Bachelor's degree,Less than 5 years,None,OOH Content
Market research analysts and marketing specialists,13-1161,Bachelor's degree,None,None,OOH Content
"Business operations specialists, all other",13-1199,Bachelor's degree,None,None,—
Accountants and auditors,13-2011,Bachelor's degree,None,None,OOH Content
Property appraisers and assessors,13-2020,Bachelor's degree,None,Long-term on-the-job training,OOH Content
Budget analysts,13-2031,Bachelor's degree,None,None,OOH Content
Credit analysts,13-2041,Bachelor's degree,None,None,—
Financial and investment analysts,13-2051,Bachelor's degree,None,None,OOH Content
Personal financial advisors,13-2052,Bachelor's degree,None,Long-term on-the-job training,OOH Content
Insurance underwriters,13-2053,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
Financial risk specialists,13-2054,Bachelor's degree,None,None,OOH Content
Financial examiners,13-2061,Bachelor's degree,None,Long-term on-the-job training,OOH Content
Credit counselors,13-2071,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
Loan officers,13-2072,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training,OOH Content
"Tax examiners and collectors, and revenue agents",13-2081,Bachelor's degree,None,Moderate-term on-the-job training,OOH Content
Tax preparers,13-2082,High school diploma or equivalent,None,Moderate-term on-the-job training,—
"Financial specialists, all other",13-2099,Bachelor's degree,None,None,—
Computer systems analysts,15-1211,Bachelor's degree,None,None,OOH Content
Information security analysts,15-1212,Bachelor's degree,Less than 5 years,None,OOH Content
Computer and information research scientists,15-1221,Master's degree,None,None,OOH Content
Computer network support specialists,15-1231,Associate's degree,None,Moderate-term on-the-job training,OOH Content
Computer user support specialists,15-1232,"Some college, no degree",None,Moderate-term on-the-job training,OOH Content
Computer network architects,15-1241,Bachelor's degree,5 years or more,None,OOH Content
Database administrators,15-1242,Bachelor's degree,None,None,OOH Content
Database architects,15-1243,Bachelor's degree,Less than 5 years,None,OOH Content
Network and computer systems administrators,15-1244,Bachelor's degree,None,None,OOH Content
Computer programmers,15-1251,Bachelor's degree,None,None,OOH Content
Software developers,15-1252,Bachelor's degree,None,None,OOH Content
Software quality assurance analysts and testers,15-1253,Bachelor's degree,None,None,OOH Content
Web developers,15-1254,Bachelor's degree,None,None,OOH Content
Web and digital interface designers,15-1255,Bachelor's degree,None,None,OOH Content
"Computer occupations, all other",15-1299,Bachelor's degree,None,None,—
Actuaries,15-2011,Bachelor's degree,None,Long-term on-the-job training,OOH Content
Mathematicians,15-2021,Master's degree,None,None,OOH Content
Operations research analysts,15-2031,Bachelor's degree,None,None,OOH Content
Statisticians,15-2041,Master's degree,None,None,OOH Content
Data scientists,15-2051,Bachelor's degree,None,None,OOH Content
"Mathematical science occupations, all other",15-2099,Bachelor's degree,None,None,—
"Architects, except landscape and naval",17-1011,Bachelor's degree,None,Internship/residency,OOH Content
Landscape architects,17-1012,Bachelor's degree,None,Internship/residency,OOH Content
Cartographers and photogrammetrists,17-1021,Bachelor's degree,None,None,OOH Content
Surveyors,17-1022,Bachelor's degree,None,Internship/residency,OOH Content
Aerospace engineers,17-2011,Bachelor's degree,None,None,OOH Content
Agricultural engineers,17-2021,Bachelor's degree,None,None,OOH Content
Bioengineers and biomedical engineers,17-2031,Bachelor's degree,None,None,OOH Content
Chemical engineers,17-2041,Bachelor's degree,None,None,OOH Content
Civil engineers,17-2051,Bachelor's degree,None,None,OOH Content
Computer hardware engineers,17-2061,Bachelor's degree,None,None,OOH Content
Electrical engineers,17-2071,Bachelor's degree,None,None,OOH Content
"Electronics engineers, except computer",17-2072,Bachelor's degree,None,None,OOH Content
Environmental engineers,17-2081,Bachelor's degree,None,None,OOH Content
"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Bachelor's degree,None,None,OOH Content
Industrial engineers,17-2112,Bachelor's degree,None,None,OOH Content
Marine engineers and naval architects,17-2121,Bachelor's degree,None,None,OOH Content
Materials engineers,17-2131,Bachelor's degree,None,None,OOH Content
Mechanical engineers,17-2141,Bachelor's degree,None,None,OOH Content
"Mining and geological engineers, including mining safety engineers",17-2151,Bachelor's degree,None,None,OOH Content
Nuclear engineers,17-2161,Bachelor's degree,None,None,OOH Content
Petroleum engineers,17-2171,Bachelor's degree,None,None,OOH Content
"Engineers, all other",17-2199,Bachelor's degree,None,None,—
Architectural and civil drafters,17-3011,Associate's degree,None,None,OOH Content
Electrical and electronics drafters,17-3012,Associate's degree,None,None,OOH Content
Mechanical drafters,17-3013,Associate's degree,None,None,OOH Content
"Drafters, all other",17-3019,Associate's degree,None,None,OOH Content
Aerospace engineering and operations technologists and technicians,17-3021,Associate's degree,None,None,OOH Content
Civil engineering technologists and technicians,17-3022,Associate's degree,None,None,OOH Content
Electrical and electronic engineering technologists and technicians,17-3023,Associate's degree,None,None,OOH Content
Electro-mechanical and mechatronics technologists and technicians,17-3024,Associate's degree,None,None,OOH Content
Environmental engineering technologists and technicians,17-3025,Associate's degree,None,None,OOH Content
Industrial engineering technologists and technicians,17-3026,Associate's degree,None,None,OOH Content
Mechanical engineering technologists and technicians,17-3027,Associate's degree,None,None,OOH Content
Calibration technologists and technicians,17-3028,Associate's degree,None,None,OOH Content
