2023 National Employment Matrix title,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",Typical education needed for entry
"Total, all occupations","167,849.8","174,589.0","6,739.2",4.0,"48,060",—
  Chief executives,313.9,331.1,17.2,5.5,"206,680",Bachelor's degree
  General and operations managers,"3,630.1","3,840.5",210.4,5.8,"101,280",Bachelor's degree
  Legislators[2],33.7,35.0,1.4,4.1,"47,290",Bachelor's degree
  Advertising and promotions managers,22.2,21.7,-0.6,-2.6,"131,870",Bachelor's degree
  Marketing managers,389.1,420.8,31.7,8.2,"157,620",Bachelor's degree
  Sales managers,584.8,619.1,34.3,5.9,"135,160",Bachelor's degree
  Public relations managers[2],78.4,83.8,5.4,6.9,"134,760",Bachelor's degree
  Fundraising managers[2],38.2,40.5,2.3,5.9,"119,200",Bachelor's degree
  Administrative services managers,256.8,272.8,16.0,6.2,"106,470",Bachelor's degree
  Facilities managers[2],140.5,147.9,7.4,5.3,"102,340",Bachelor's degree
  Computer and information systems managers,613.5,720.4,106.9,17.4,"169,510",Bachelor's degree
  Financial managers,837.1,975.3,138.3,16.5,"156,100",Bachelor's degree
  Industrial production managers,230.1,236.7,6.5,2.8,"116,970",Bachelor's degree
  Purchasing managers,81.3,85.4,4.1,5.1,"136,380",Bachelor's degree
"  Transportation, storage, and distribution managers",211.8,230.8,19.1,9.0,"99,200",High school diploma or equivalent
  Compensation and benefits managers,19.1,19.5,0.4,2.1,"136,380",Bachelor's degree
  Human resources managers,208.9,222.5,13.5,6.5,"136,350",Bachelor's degree
  Training and development managers,43.2,46.4,3.2,7.3,"125,040",Bachelor's degree
"  Farmers, ranchers, and other agricultural managers",856.6,842.9,-13.8,-1.6,"83,770",High school diploma or equivalent
  Construction managers,520.9,568.5,47.6,9.1,"104,900",Bachelor's degree
"  Education and childcare administrators, preschool and daycare",80.9,79.2,-1.7,-2.1,"54,290",Bachelor's degree
"  Education administrators, kindergarten through secondary",316.6,315.0,-1.6,-0.5,"103,460",Master's degree
"  Education administrators, postsecondary",216.4,222.7,6.2,2.9,"102,610",Master's degree
"  Education administrators, all other[2]",57.7,59.1,1.4,2.5,"88,460",Bachelor's degree
  Architectural and engineering managers,210.2,221.8,11.6,5.5,"165,370",Bachelor's degree
  Food service managers,393.6,399.5,5.9,1.5,"63,060",High school diploma or equivalent
  Gambling managers,5.3,5.5,0.3,5.1,"82,380",High school diploma or equivalent
"  Entertainment and recreation managers, except gambling[2]",35.8,39.7,3.9,10.8,"73,460",Bachelor's degree
  Lodging managers,53.3,58.6,5.3,9.9,"65,360",High school diploma or equivalent
  Medical and health services managers,562.7,723.3,160.6,28.5,"110,680",Bachelor's degree
  Natural sciences managers,100.1,107.6,7.5,7.5,"157,740",Bachelor's degree
  Postmasters and mail superintendents,13.2,12.8,-0.4,-3.0,"88,670",High school diploma or equivalent
"  Property, real estate, and community association managers",467.1,482.2,15.1,3.2,"62,850",High school diploma or equivalent
  Social and community service managers,199.5,215.9,16.4,8.2,"77,030",Bachelor's degree
  Emergency management directors,12.4,12.9,0.5,4.0,"83,960",Bachelor's degree
  Funeral home managers,35.8,37.4,1.6,4.5,"75,660",Associate's degree
"  Personal service managers, all other[2]",27.9,29.8,1.9,6.9,"57,570",High school diploma or equivalent
